"Title","Author","Category","Subcategory","Edition","Year"
"The C++ Programming Language","Bjarne Stroustrup","Computer Science","Programming & Languages","3rd Edition",""
"The C Programming Language","Kernighan, Ritchie","Computer Science","Programming & Languages","2nd Edition",""
"Effective Java","Bloch","Computer Science","Programming & Languages","3rd Edition",""
"JavaScript: The Good Parts","Crockford","Computer Science","Programming & Languages","",""
"Introducing Python","Lubanovic","Computer Science","Programming & Languages","",""
"J2ME: The Complete Reference","Keogh, James","Computer Science","Programming & Languages","",""
"Object Oriented Programming in Turbo C++","Robert Lafore","Computer Science","Programming & Languages","",""
"C++ FAQs","Cline, Lomow, Girou","Computer Science","Programming & Languages","2nd Edition",""
"Java Complete Reference","Schildt","Computer Science","Programming & Languages","7th Edition",""
"Full Stack Javascript","Mardan","Computer Science","Programming & Languages","",""
"Visual Basic 6 Programming Black Book","Holzner","Computer Science","Programming & Languages","",""
"Introduction to Algorithms","Cormen, Leiserson, Rivest, Stein","Computer Science","Algorithms & Data Structures","3rd Edition",""
"Introduction to Design and Analysis of Algorithms","Levitin","Computer Science","Algorithms & Data Structures","2nd Edition",""
"Data Structures using C and C++","Langsam, Augenstein, Tenenbaum","Computer Science","Algorithms & Data Structures","2nd Edition",""
"Data Structures and Algorithm Analysis in C++","Weiss","Computer Science","Algorithms & Data Structures","3rd Edition",""
"Algorithm Design Manual","Skiena","Computer Science","Algorithms & Data Structures","2nd Edition",""
"Fundamentals of Data Structures in C","Horowitz, Sahni, Anderson-Freed","Computer Science","Algorithms & Data Structures","2nd Edition",""
"Data Structure and Algorithm Analysis in C","Weiss","Computer Science","Algorithms & Data Structures","2nd Edition",""
"Data Structures Through C","Yashavant Kanetkar","Computer Science","Algorithms & Data Structures","",""
"Data Structures and Algorithms Made Easy","Narasimha Karumanchi","Computer Science","Algorithms & Data Structures","",""
"The 8051 Microcontroller","Ayala","Computer Science","Architecture, Systems, & Theory","3rd Edition",""
"Microcomputer Systems: The 8086/8088 Family","Liu, Gibson","Computer Science","Architecture, Systems, & Theory","2nd Edition",""
"Computer Networking","Kurose, Ross","Computer Science","Architecture, Systems, & Theory","6th Edition",""
"Design Patterns","Gamma, Helm, Johnson, Vlissides","Computer Science","Architecture, Systems, & Theory","",""
"Object Oriented Modeling and Design with UML","Blaha, Rumbaugh","Computer Science","Architecture, Systems, & Theory","2nd Edition",""
"Database Management Systems","Ramakrishnan, Gehrke","Computer Science","Architecture, Systems, & Theory","3rd Edition",""
"Digital Design","Mano, Ciletti","Computer Science","Architecture, Systems, & Theory","4th Edition",""
"An Introduction to Formal Languages and Automata","Linz","Computer Science","Architecture, Systems, & Theory","4th Edition",""
"Introduction to Automata Theory, Languages and Computation","Hopcroft, Motwani, Ullman","Computer Science","Architecture, Systems, & Theory","3rd Edition",""
"An Embedded Software Primer","Simon","Computer Science","Architecture, Systems, & Theory","",""
"The Quality Toolbox","Nancy R. Tague","Computer Science","Architecture, Systems, & Theory","2nd Edition",""
"The Magic Garden Explained","Goodheart, Cox","Computer Science","Architecture, Systems, & Theory","",""
"The Magic Garden Explained Solution Manual","Goodheart","Computer Science","Architecture, Systems, & Theory","",""
"Computer Organization","Hamacher, Vranesic, Zaky","Computer Science","Architecture, Systems, & Theory","5th Edition",""
"Operating System Principles","Silberschatz, Galvin, Gagne","Computer Science","Architecture, Systems, & Theory","7th Edition",""
"The Art of Computer Systems Performance Analysis","Jain","Computer Science","Architecture, Systems, & Theory","",""
"Graph Theory and Combinatorics","Dr. D.S.C","Mathematics & Sciences","","",""
"Topics in Algebra","Herstein","Mathematics & Sciences","","2nd Edition","1964"
"Higher Engineering Mathematics","Dr. B.S. Grewal","Mathematics & Sciences","","",""
"Discrete Mathematics for Computer Scientists and Mathematicians","Mott, Kandel, Baker","Mathematics & Sciences","","2nd Edition","1986"
"Advanced Engineering Mathematics","Kreyszig","Mathematics & Sciences","","8th Edition","1962"
"Advanced Engineering Mathematics Student Solution Manual","Kreyszig","Mathematics & Sciences","","",""
"Discrete and Combinatorial Mathematics","Grimaldi, Ramana","Mathematics & Sciences","","5th Edition","1985"
"Operations Research","S.D. Sharma","Mathematics & Sciences","","",""
"Linear Algebra","Hoffman, Kunze","Mathematics & Sciences","","2nd Edition","1961"
"How to Solve It","George Polya","Mathematics & Sciences","","","1945"
"Principles of Electronics","V.K Mehta, Rohit Mehta","Mathematics & Sciences","","",""
"Engineering Chemistry","R.V Gadag, A.N Shetty","Mathematics & Sciences","","",""
"Fundamentals of Physics","Halliday, Resnick, Walker","Mathematics & Sciences","","6th Edition","1960"
"Crime and Punishment","Fyodor Dostoevsky","Literature & Fiction","","","1866"
"The Brothers Karamazov","Fyodor Dostoevsky","Literature & Fiction","","","1880"
"The Idiot","Fyodor Dostoevsky","Literature & Fiction","","","1869"
"White Nights","Fyodor Dostoevsky","Literature & Fiction","","","1848"
"War and Peace","Leo Tolstoy","Literature & Fiction","","","1869"
"Anna Karenina","Leo Tolstoy","Literature & Fiction","","","1878"
"50 Greatest Short Stories","Terry O'Brien","Literature & Fiction","","","2015"
"Women in Love","D.H. Lawrence","Literature & Fiction","","","1920"
"Atlas Shrugged","Ayn Rand","Literature & Fiction","","","1957"
"The Fountainhead","Ayn Rand","Literature & Fiction","","","1943"
"Moby-Dick","Herman Melville","Literature & Fiction","","","1851"
"Metamorphosis","Franz Kafka","Literature & Fiction","","","1915"
"Animal Farm","George Orwell","Literature & Fiction","","","1945"
"1984","George Orwell","Literature & Fiction","","","1949"
"Far from the Madding Crowd","Thomas Hardy","Literature & Fiction","","","1874"
"Pride and Prejudice","Jane Austen","Literature & Fiction","","","1813"
"American Notes","Charles Dickens","Literature & Fiction","","","1842"
"Complete Works","Charles Dickens","Literature & Fiction","","",""
"Master Humphrey's Clock and Life of Dickens","John Forster","Literature & Fiction","","","1872"
"Wuthering Heights","Emily Brontë","Literature & Fiction","","","1847"
"The Shining","Stephen King","Literature & Fiction","","","1977"
"The Trouble with Being Born","E.M. Cioran","Philosophy","","","1973"
"Nausea","Jean-Paul Sartre","Philosophy","","","1938"
"The Rebel","Albert Camus","Philosophy","","","1951"
"Thus Spoke Zarathustra","Friedrich Nietzsche","Philosophy","","","1883"
"Beyond Good and Evil","Friedrich Nietzsche","Philosophy","","","1886"
"Meditations","Marcus Aurelius","Philosophy","","","180 CE"
"The Republic","Plato","Philosophy","","","375 BCE"
"The Essential Rumi","Coleman Barks","Philosophy","","","1995"
"The Black Swan - The Impact of the Highly Improbable","Nassim Nicholas Taleb","Psychology & Business","","","2007"
"Thinking, Fast and Slow","Daniel Kahneman","Psychology & Business","","","2011"
"The Psychology of Money","Morgan Housel","Psychology & Business","","","2020"
"7 Habits of Highly Effective People","Stephen R. Covey","Self Help","","","1989"
"Kaizen","Sarah Harvey","Self Help","","","2019"
"The Power of Positive Thinking","Norman Vincent Peale","Self Help","","","1952"
"As a Man Thinketh","James Allen","Self Help","","","1903"
"You Can Win","Shiv Khera","Self Help","","","1998"
"The Complete Mental Fitness Book","Tom Wujec","Self Help","","","1988"
"The Go-Giver","Bob Burg and John David Mann","Self Help","","","2007"
"How Buffet Does It","James Pardoe","Psychology & Business","","","2005"
"How to Read a Book","Mortimer J. Adler and Charles Van Doren","Psychology & Business","","","1940"
"Wealth of Nations","Adam Smith","Economics & Society","","","1776"
"An Essay on the Principle of Population","Thomas Robert Malthus","Economics & Society","","","1798"
"Consequences of Capitalism","Noam Chomsky and Marv Waterstone","Economics & Society","","","2021"
"The Selfish Gene","Richard Dawkins","Economics & Society","","","1976"
"The Singularity is Near","Ray Kurzweil","Economics & Society","","","2005"
"Permanent Record","Edward Snowden","Economics & Society","","","2019"
"Freud","Richard Webster","Economics & Society","","","2003"
"The Pocket Essential: Steven Soderbergh","Jason Wood","Economics & Society","","","2002"
"Lolita","Vladimir Nabokov","Literature & Fiction","","","1955"
"Kafka on the Shore","Haruki Murakami","Literature & Fiction","","","2002"
